Type Of Product,Ti concentration (mg/kg),TiO2 concentration (mg/kg),Reference
Black pepper,12.15,20.29,Ahmad et al. (2019)
Black pepper,10.72,17.90,Ahmad et al. (2019)
Black pepper,18.68,31.20,Ahmad et al. (2019)
Rice,0.10,0.17,Al-Harbi et al. (2023)
Rice,0.40,0.67,Al-Harbi et al. (2023)
Rice,0.15,0.25,Al-Harbi et al. (2023)
Rice,0.65,1.08,Al-Harbi et al. (2023)
Rice,0.33,0.55,Al-Harbi et al. (2023)
Rice,0.20,0.34,Al-Harbi et al. (2023)
Rice,0.13,0.22,Al-Harbi et al. (2023)
Rice,0.63,1.05,Al-Harbi et al. (2023)
Rice,0.13,0.22,Al-Harbi et al. (2023)
Rice,0.51,0.85,Al-Harbi et al. (2023)
Seabass,2.01,3.36,Alasalvar et al. (2002)
Seabass,1.59,2.66,Alasalvar et al. (2002)
Egg (chicken),3.94,6.58,Altun et al. (2019)
Egg (chicken),3.02,5.05,Altun et al. (2019)
Egg (chicken),2.13,3.56,Altun et al. (2019)
Chicken breast,0.42,0.70,An et al. (2024)
Chicken breast,0.54,0.91,An et al. (2024)
Chicken breast,0.40,0.66,An et al. (2024)
Chicken breast,0.59,0.98,An et al. (2024)
Chicken drumstick,0.52,0.86,An et al. (2024)
Chicken drumstick,0.91,1.52,An et al. (2024)
Chicken drumstick,0.46,0.77,An et al. (2024)
Chicken drumstick,0.73,1.21,An et al. (2024)
Lettuce,11.20,18.70,Araujo et al. (2019)
Lettuce,14.90,24.88,Araujo et al. (2019)
Cocoa powder,5.80,9.69,Asiedu-Gyeke et al. (2016)
Mussel,10.57,17.65,Azizi et al. (2020)
Tomato ,2.31,3.86,Bakshi et al. (2019)
Coffee  ,10.20,17.03,Barbosa et al. (2014)
Coffee,19.20,32.06,Barbosa et al. (2014)
Salep,12.03,20.09,Bilgin et al. (2023)
Salep,10.05,16.78,Bilgin et al. (2023)
Salep,7.65,12.78,Bilgin et al. (2023)
Salep,6.55,10.94,Bilgin et al. (2023)
Salep,9.43,15.75,Bilgin et al. (2023)
Chia seed,2.68,4.48,Bolanos et al. (2015)
Cabbage,0.00,0.00,Bong et al. (2012)
Cabbage,0.37,0.62,Bong et al. (2012)
Cabbage,0.03,0.05,Bong et al. (2012)
Cabbage,0.40,0.66,Bong et al. (2012)
Milk (buffalo),0.19,0.32,Bontempo et al. (2019)
Milk (buffalo),0.26,0.43,Bontempo et al. (2019)
Milk (buffalo),2.48,4.15,Bontempo et al. (2019)
Milk (buffalo),0.16,0.27,Bontempo et al. (2019)
Milk (buffalo),0.24,0.39,Bontempo et al. (2019)
Grape juice,0.91,1.51,Borges et al. (2015)
Grape juice,1.38,2.30,Borges et al. (2015)
Paprika powder,0.01,0.01,Brunner et al. (2010)
Paprika powder,0.00,0.00,Brunner et al. (2010)
Paprika powder,0.01,0.01,Brunner et al. (2010)
Paprika powder,0.02,0.03,Brunner et al. (2010)
Paprika powder,0.01,0.02,Brunner et al. (2010)
Paprika powder,0.01,0.01,Brunner et al. (2010)
Paprika powder,0.01,0.02,Brunner et al. (2010)
Paprika powder,0.01,0.02,Brunner et al. (2010)
Paprika powder,0.00,0.00,Brunner et al. (2010)
Paprika powder,0.03,0.06,Brunner et al. (2010)
Paprika powder,0.01,0.01,Brunner et al. (2010)
Cocoa powder,20.19,33.71,Bucher et al. (2024)
Mate leaves (dry),28.00,46.76,Caniza et al. (2019)
Rice,0.13,0.22,Chung et al. (2017)
Rice,0.23,0.39,Chung et al. (2017)
Rice,0.01,0.01,Chung et al. (2017)
Rice,0.18,0.29,Chung et al. (2017)
Rice,0.31,0.52,Chung et al. (2017)
Rice,0.07,0.11,Chung et al. (2017)
Honey,0.06,0.10,Conti et al. (2022)
Saffron,2.80,4.68,D'Archivio et al. (2014)
Saffron,1.60,2.67,D'Archivio et al. (2014)
Saffron,1.50,2.51,D'Archivio et al. (2014)
Coffee (roasted and ground),9.20,15.36,Debastiani et al. (2020)
Coffee (roasted and ground),6.70,11.19,Debastiani et al. (2020)
Coffee (roasted and ground),9.30,15.53,Debastiani et al. (2020)
Coffee (roasted and ground),9.00,15.03,Debastiani et al. (2020)
Coffee (roasted and ground),12.00,20.04,Debastiani et al. (2020)
Coffee (roasted and ground),10.70,17.87,Debastiani et al. (2020)
Coffee (roasted and ground),5.50,9.19,Debastiani et al. (2020)
Coffee (roasted and ground),6.40,10.69,Debastiani et al. (2020)
