Product Name,TiO2 Concentration (mg/kg),TiO2 on Ingredient List?,Category - Level 1,Category - Level 2,Category - Level 3,Source,Extra Information
-,533.87,-,Dietary supplements,not applicable,not applicable,Anderson & Mackey (2005),Multimineral (tablet)
-,7741.09,-,Dietary supplements,not applicable,not applicable,Anderson & Mackey (2005),Multivitamin/mineral (tablet)
-,166.84,-,Dietary supplements,not applicable,not applicable,Anderson & Mackey (2005),Bone meal (tablet)
-,1301.3,-,Dietary supplements,not applicable,not applicable,Anderson & Mackey (2005),Horsetail (capsule)
-,141.81,-,Dietary supplements,not applicable,not applicable,Anderson & Mackey (2005),Kelp (capsule)
-,1430,Yes,Dietary supplements,not applicable,not applicable,Bucher et al. (2024),Vitamins
-,5370.3,Yes,Dietary supplements,not applicable,not applicable,Bucher et al. (2024),Hair growth
-,445.2,Yes,Dietary supplements,not applicable,not applicable,Bucher et al. (2024),Vitamins
-,809,Yes,Dietary supplements,not applicable,not applicable,Bucher et al. (2024),Detoxifying and draining
-,2060,Yes,Dietary supplements,not applicable,not applicable,Bucher et al. (2024),
-,3770.44,Yes,Dietary supplements,not applicable,not applicable,Ferraris et al. (2023b),Melatonin (tablet)
-,5839.18,Yes,Dietary supplements,not applicable,not applicable,Ferraris et al. (2023b),Valerian (tablet)
-,2357.36,Yes,Dietary supplements,not applicable,not applicable,Ferraris et al. (2023b),Soy-isoflavones (tablet)
Multi-B ,3331.67,Yes,Dietary supplements,not applicable,not applicable,Ferraris et al. (2023b),Tablet
ABC Sprektrum,15632.32,No,Dietary supplements,not applicable,not applicable,Krejcova et al. (2012),Multivitamin 
Centrum ,7273.95,No,Dietary supplements,not applicable,not applicable,Krejcova et al. (2012),Multivitamin 
Beta Caroten Dr. Galen ,3670.34,No,Dietary supplements,not applicable,not applicable,Krejcova et al. (2012),Multivitamin 
Calibrum,3370.04,No,Dietary supplements,not applicable,not applicable,Krejcova et al. (2012),Multivitamin 
Ca-Mg-Zn Walmark,3253.26,No,Dietary supplements,not applicable,not applicable,Krejcova et al. (2012),Multivitamin 
-,2432.44,Yes,Dietary supplements,not applicable,not applicable,Rompelberg et al. (2016),Multivitamin (tablet)
-,51.72,-,Dietary supplements,not applicable,not applicable,Rompelberg et al. (2016),Multivitamin (tablet)
XLS Duo Cure Hips & Thighs,1234.57,Yes,Dietary supplements,not applicable,not applicable,Verleysen et al. (2022),Tablet
Omnibionta Pronatal,6822,Yes,Dietary supplements,not applicable,not applicable,Present paper,Multivitamin - aimed at pregnant women (tablet)
Biover,3558.06,Yes,Dietary supplements,not applicable,not applicable,Present paper,Multivitamin (tablet)
Glucadol Krill,1977.88,Yes,Dietary supplements,not applicable,not applicable,Present paper,Tablet
Omnivit Vitality 50+,6540.9,Yes,Dietary supplements,not applicable,not applicable,Present paper,Tablet
-,247.6,Yes,Food,Bakery wares (07),Fine bakery wares (07.2),Bucher et al. (2024),Cake with sugar icing
-,98.9,Yes,Food,Bakery wares (07),Fine bakery wares (07.2),Bucher et al. (2024),Lemon cake
-,943.9,No,Food,Bakery wares (07),Fine bakery wares (07.2),Bucher et al. (2024),Biscuit with icing and sprinkles
-,1922.8,No,Food,Bakery wares (07),Fine bakery wares (07.2),Bucher et al. (2024),Cookies with icing and cream
-,1242.5,Yes,Food,Bakery wares (07),Fine bakery wares (07.2),Bucher et al. (2024),Cupcakes
-,848,Yes,Food,Bakery wares (07),Fine bakery wares (07.2),Bucher et al. (2024),Biscuit with chocolate and marshmallow icing
-,11.8,Yes,Food,Bakery wares (07),Fine bakery wares (07.2),Bucher et al. (2024),Biscuit with chocolate icing
-,1519.86,Yes,Food,Bakery wares (07),Fine bakery wares (07.2),Ferraris et al. (2023b),Croissant
-,1850,No,Food,Bakery wares (07),Fine bakery wares (07.2),Lim et al. (2018),Cookie
-,823.61,-,Food,Bakery wares (07),Fine bakery wares (07.2),Peters et al. (2014),Pastry 
-,373.09,-,Food,Bakery wares (07),Fine bakery wares (07.2),Peters et al. (2014),Pastry 
-,232.3,-,Food,Bakery wares (07),Fine bakery wares (07.2),Peters et al. (2014),Pastry 
-,16.68,-,Food,Bakery wares (07),Fine bakery wares (07.2),Peters et al. (2014),White-topped cookie
-,58,-,Food,Bakery wares (07),Fine bakery wares (07.2),Sungur et al. (2020),Milk cake
-,35,-,Food,Bakery wares (07),Fine bakery wares (07.2),Sungur et al. (2020),Wafer
Hostess Powdered Donettes,4037.38,Yes,Food,Bakery wares (07),Fine bakery wares (07.2),Weir et al. (2012),
Mother's Oatmeal Iced Cookies,884.22,No,Food,Bakery wares (07),Fine bakery wares (07.2),Weir et al. (2012),
Vanilla Milkshake Pop Tarts,134.13,No,Food,Bakery wares (07),Fine bakery wares (07.2),Weir et al. (2012),
Nabisco Oreo,13.5,No,Food,Bakery wares (07),Fine bakery wares (07.2),Weir et al. (2012),
Nabisco Sugar-Free Oreo,10.24,No,Food,Bakery wares (07),Fine bakery wares (07.2),Weir et al. (2012),
Albertson's Chocolate Sandwich Cookies,8.04,No,Food,Bakery wares (07),Fine bakery wares (07.2),Weir et al. (2012),
Hostess Frosted Donettes,6.69,No,Food,Bakery wares (07),Fine bakery wares (07.2),Weir et al. (2012),
